,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,Reformatted Genes
SMYD1,200.6231292,-2.128179151,0.478293351,-4.449526939,8.60596355980075e-06,0.000387992,,,SMYD1
TAC3,71.60813455,-2.125535161,0.505024723,-4.208774468,2.56759508957105e-05,0.000937172,,,TAC3
BCAM,15.72840141,-2.123900937,0.587796946,-3.613324214,0.000302296,0.006473974,,,BCAM
MCTP2,1076.905556,-2.12270696,0.343961754,-6.171345904,6.77111037174244e-10,1.35301704623148e-07,,,MCTP2
PLCXD3,4939.995361,-2.118657902,0.37653013,-5.626795126,1.83588556375029e-08,2.32733041439076e-06,,,PLCXD3
LINC01057,611.320945,-2.105999815,0.36791032,-5.724220558,1.03909685862385e-08,1.42446888543556e-06,,,LINC01057
RP11-486M23.2,45.93289252,-2.103829307,0.555763795,-3.785473838,0.000153416,0.00380378,,,RP11
CUL1P1,33.48777694,-2.0990649,0.519190528,-4.042956846,5.27813377806974e-05,0.001657165,,,CUL1P1
MME,225.4656713,-2.089267739,0.342543174,-6.099282942,1.06545330730842e-09,2.02599383330849e-07,,,MME
PAH,430.3088803,-2.088706438,0.529870369,-3.941919685,8.08320457888348e-05,0.002299082,,,PAH
RASEF,334.2306259,-2.087801077,0.420095195,-4.969828505,6.70121455637848e-07,4.66493112432509e-05,,,RASEF
ALK,7902.414866,-2.080187077,0.279721859,-7.436626809,1.03288812973854e-13,5.90513051525077e-11,,,ALK
AC005355.3,23.87457951,-2.075558565,0.618825365,-3.354029556,0.000796439,0.01359828,,,AC005355.3
PPIAP21,12.50434031,-2.074762858,0.699361728,-2.966651983,0.003010615,0.037981432,,,PPIAP21
LINC00261,364.8621757,-2.074746202,0.381873624,-5.433070188,5.53926066697413e-08,5.72851873976241e-06,,,LINC00261
RP11-58K22.5,21.18237545,-2.074668907,0.534407903,-3.882182309,0.000103523,0.002789684,,,RP11
PDGFRA,39.46722348,-2.070923404,0.378426391,-5.47246031,4.43830183742006e-08,4.84494069557998e-06,,,PDGFRA
CALCR,8.765370861,-2.068159314,0.645035861,-3.206270284,0.001344676,0.020549253,,,CALCR
RP11-90P5.5,15.43692309,-2.066057851,0.544745788,-3.792700919,0.000149018,0.003733991,,,RP11
RP11-10A14.5,45.19437499,-2.061671168,0.352671732,-5.845864522,5.03944074315598e-09,7.42656083017968e-07,,,RP11
GUCA1C,8.449081486,-2.06058582,0.723868656,-2.84662943,0.004418476,0.049896194,,,GUCA1C
CA2,216.771747,-2.058635523,0.488985941,-4.210009632,2.55359801772709e-05,0.000934958,,,CA2
CCDC68,257.3579063,-2.058143646,0.293984895,-7.000848271,2.54417356870054e-12,9.83427353711312e-10,,,CCDC68
CPED1,1081.754475,-2.055553509,0.29221472,-7.03439413,2.00128689360899e-12,7.9980243498994e-10,,,CPED1
RP11-167N4.4,28.93156882,-2.0518537,0.568642795,-3.608335001,0.000308168,0.006563959,,,RP11
LINC01162,47.08710466,-2.050341694,0.315991268,-6.488602389,8.66362707860872e-11,2.46120075766885e-08,,,LINC01162
GNG12-AS1,1758.482272,-2.049481731,0.397356607,-5.157789492,2.4988232482676e-07,2.0529530791255e-05,,,GNG12
RP11-357G3.1,40.09034087,-2.04646172,0.705950601,-2.898873828,0.003745056,0.044329652,,,RP11
RAB3B,930.8563792,-2.0454293,0.322596615,-6.340516927,2.28995510454427e-10,5.50967871531117e-08,,,RAB3B
CU104787.1,25.17459255,-2.04520454,0.71355703,-2.866210345,0.004154181,0.047641751,,,CU104787.1
WIF1,299.0644558,-2.044702326,0.457378673,-4.470480254,7.80441496287756e-06,0.000358714,,,WIF1
CMTM8,978.4512831,-2.043792486,0.441185338,-4.632503186,3.61270774077076e-06,0.000188044,,,CMTM8
RP11-356M20.3,78.10160585,-2.042501427,0.656313024,-3.112084252,0.001857715,0.026483105,,,RP11
CTC-527H23.4,17.48518777,-2.042290234,0.606171487,-3.369162484,0.00075397,0.013024067,,,CTC
GALR1,123.133301,-2.034789824,0.363606381,-5.596133433,2.19185034410244e-08,2.69175204497872e-06,,,GALR1
RP13-512J5.1,101.9894743,-2.031798767,0.495086221,-4.103929136,4.06191929346174e-05,0.001343282,,,RP13
SLC40A1,41.62863897,-2.026932669,0.652190079,-3.107886388,0.001884305,0.026765076,,,SLC40A1
EHF,12.40569244,-2.026209174,0.682151523,-2.970321266,0.002974885,0.037640394,,,EHF
FBN2,625.391364,-2.025479614,0.320016409,-6.329299247,2.46277079563022e-10,5.7494725336797e-08,,,FBN2
GRIK1,9605.136226,-2.016422079,0.478568231,-4.213447424,2.51502151428993e-05,0.000926589,,,GRIK1
EDNRA,260.7336072,-2.011777482,0.389254592,-5.168281945,2.36255718359664e-07,1.97541616425621e-05,,,EDNRA
ABCA12,124.3074901,-2.010848351,0.36095776,-5.570868885,2.53472032671455e-08,2.9441463341676e-06,,,ABCA12
KIAA1211,4456.335441,-2.003725008,0.407293123,-4.919614146,8.67149867203446e-07,5.77585500530792e-05,,,KIAA1211
ITGA8,2802.729636,-1.996255467,0.631655839,-3.160353067,0.001575781,0.023412307,,,ITGA8
