,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,Reformatted Genes,
LINC00261,364.8621757,-2.078551802,0.376568084,-5.51972376,3.40E-08,4.57E-06,,LINC00261,
SLC25A48,135.5329709,-2.080397001,0.526249699,-3.95325072,7.71E-05,0.002541683,,SLC25A48,
RP11-429P3.5,17.06221707,-2.091635066,0.719017916,-2.909016618,0.003625676,0.047773035,,RP11,
LINC01057,611.320945,-2.09653747,0.368628167,-5.687404426,1.29E-08,2.12E-06,,LINC01057,
PAH,430.3088803,-2.100973767,0.541479636,-3.880060539,0.00010443,0.003261846,,PAH,
RASEF,334.2306259,-2.105227649,0.420388588,-5.007813508,5.51E-07,4.71E-05,,RASEF,
OPN5,407.9727385,-2.105883745,0.466946922,-4.509899618,6.49E-06,0.000351925,,OPN5,
RP11-356M20.3,78.10160585,-2.108313006,0.702576106,-3.000832207,0.002692429,0.038096634,,RP11,
SIGLEC29P,7.216767747,-2.108492062,0.580619112,-3.631454799,0.000281828,0.00702063,,SIGLEC29P,
SMYD1,200.6231292,-2.112111858,0.471093831,-4.48342075,7.35E-06,0.000388199,,SMYD1,
SOX13,185.9832559,-2.119818927,0.39635801,-5.34824294,8.88E-08,1.01E-05,,SOX13,
WLS,413.0055772,-2.120436304,0.424603307,-4.993923201,5.92E-07,4.97E-05,,WLS,
BCAM,15.72840141,-2.123656578,0.561252244,-3.783782785,0.000154463,0.00441687,,BCAM,
CTA-398F10.1,85.04600152,-2.124413613,0.514561832,-4.128587628,3.65E-05,0.001409671,,CTA,
RP11-274A11.5,22.2918998,-2.128060862,0.734546106,-2.897109992,0.003766177,0.049093294,,RP11,
CALML3-AS1,38.08021258,-2.129624451,0.5478448,-3.887276927,0.000101375,0.003178637,,CALML3,
CPB1,16.3207037,-2.130660103,0.718675443,-2.9647042,0.003029741,0.041571626,,CPB1,
NR1H4,11.94887191,-2.133748744,0.603970977,-3.532866353,0.00041108,0.009274303,,NR1H4,
MCTP2,1076.905556,-2.137977142,0.353665739,-6.04519156,1.49E-09,3.28E-07,,MCTP2,
BEST3,103.8469294,-2.140803341,0.542581062,-3.94559171,7.96E-05,0.002613708,,BEST3,
SP9,36.07366475,-2.141543437,0.662316846,-3.233412303,0.001223209,0.021334445,,SP9,
AC096669.1,68.4995993,-2.14455744,0.482274618,-4.446755774,8.72E-06,0.000445712,,AC096669.1,
PPIAP21,12.50434031,-2.14473777,0.688240072,-3.116264017,0.001831582,0.028738454,,PPIAP21,
PKP2,640.4427935,-2.153896938,0.541337003,-3.978846685,6.93E-05,0.002352881,,PKP2,
GRPR,87.42471953,-2.154925088,0.415361622,-5.188069798,2.12E-07,2.12E-05,,GRPR,
NXPH2,1408.07168,-2.161165041,0.548483655,-3.94025423,8.14E-05,0.002651115,,NXPH2,
AP002954.6,20.33868414,-2.162800639,0.505704814,-4.276804533,1.90E-05,0.000850664,,AP002954.6,
RP11-313H3.1,16.01333427,-2.16488106,0.619515671,-3.494473442,0.000474998,0.010351843,,RP11,
RPEP6,5.962375362,-2.175306878,0.703779287,-3.090893579,0.001995551,0.030443093,,RPEP6,
TMEM255A,180.2147988,-2.185580701,0.463438967,-4.71600547,2.41E-06,0.000151416,,TMEM255A,
LINC00670,34.57225395,-2.185911013,0.487155972,-4.487086559,7.22E-06,0.000384083,,LINC00670,
LINC00487,26.31542853,-2.188860039,0.726402302,-3.013288962,0.002584327,0.037014675,,LINC00487,
PRTG,79.283348,-2.190291603,0.527938447,-4.148763203,3.34E-05,0.001315666,,PRTG,
RENBP,7.437875754,-2.204029432,0.620484495,-3.552110409,0.000382154,0.008775146,,RENBP,
RP11-91H12.4,6.270955526,-2.205713724,0.682320527,-3.232665057,0.001226413,0.021357463,,RP11,
TAC3,71.60813455,-2.208031492,0.50831255,-4.343846111,1.40E-05,0.000657236,,TAC3,
IGLV3-15,8.09237741,-2.211616756,0.661427315,-3.343703392,0.000826681,0.015795255,,IGLV3,
AC062021.1,66.44770305,-2.213902699,0.394547753,-5.611241439,2.01E-08,3.07E-06,,AC062021.1,
ASCL1,33.21111993,-2.217423632,0.509738422,-4.350120641,1.36E-05,0.000641179,,ASCL1,
RN7SL432P,21.71250876,-2.220057165,0.73894631,-3.004355165,0.002661444,0.037785997,,RN7SL432P,
RP11-438L7.3,38.7742797,-2.221530186,0.545062044,-4.075738182,4.59E-05,0.001719226,,RP11,
AC004980.8,88.61476848,-2.222851247,0.401501427,-5.536347062,3.09E-08,4.23E-06,,AC004980.8,
GUCA1C,8.449081486,-2.230843899,0.755291056,-2.953621495,0.00314069,0.042603908,,GUCA1C,
AC005355.3,23.87457951,-2.233270896,0.621817869,-3.591519327,0.000328756,0.007852429,,AC005355.3,
AL008721.1,33.98828656,-2.235722613,0.465447502,-4.803382991,1.56E-06,0.000109597,,AL008721.1,
RPL21P43,6.684098436,-2.248773577,0.698594883,-3.218995202,0.001286406,0.022195976,,RPL21P43,
FAM46C,17.2633337,-2.250111489,0.623692161,-3.607727704,0.00030889,0.007502988,,FAM46C,
CALCR,8.765370861,-2.252583689,0.659975094,-3.413134388,0.000642203,0.013060086,,CALCR,
SKINTL,394.8362411,-2.256677533,0.397394895,-5.678677715,1.36E-08,2.19E-06,,SKINTL,
IGF1,987.0977013,-2.263992741,0.677945309,-3.339491712,0.000839319,0.015948899,,IGF1,
AC008163.4,20.5158649,-2.269318059,0.669476301,-3.389691397,0.000699713,0.014007493,,AC008163.4,
SYTL5,846.4244145,-2.270784392,0.41708784,-5.44437927,5.20E-08,6.41E-06,,SYTL5,
LRAT,74.72197632,-2.272533272,0.332530785,-6.834053782,8.25E-12,3.19E-09,,LRAT,
EYA4,1448.278825,-2.287696633,0.335833926,-6.811987884,9.63E-12,3.66E-09,,EYA4,
CARD16,42.39948733,-2.289181982,0.572854363,-3.996097664,6.44E-05,0.002222181,,CARD16,
LINC00475,26.90699493,-2.292688371,0.574423884,-3.991283154,6.57E-05,0.002261381,,LINC00475,
POSTN,270.5364897,-2.29820677,0.501995847,-4.578139013,4.69E-06,0.000268297,,POSTN,
RP11-317G22.2,34.42954158,-2.310599381,0.47596088,-4.854599359,1.21E-06,8.85E-05,,RP11,
CTD-2135J3.3,513.4083017,-2.31802241,0.243012707,-9.538688081,1.45E-21,3.92E-18,,CTD,
GIMAP4,14.06520371,-2.323072349,0.556713943,-4.172829469,3.01E-05,0.001203894,,GIMAP4,
ANO1,177.5177188,-2.332623719,0.572574533,-4.073921537,4.62E-05,0.001727384,,ANO1,
URAD,4.709137093,-2.33547441,0.722205169,-3.233810157,0.001221506,0.021333015,,URAD,
KRT17,12.68827623,-2.339557733,0.753225224,-3.106053353,0.001896025,0.02938477,,KRT17,
SHH,49.39793876,-2.340834541,0.418617832,-5.591817559,2.25E-08,3.26E-06,,SHH,
VAV2,1294.279532,-2.349632295,0.388574172,-6.046805128,1.48E-09,3.27E-07,,VAV2,
RN7SL623P,36.29433765,-2.3573564,0.731802645,-3.221300738,0.001276102,0.022065056,,RN7SL623P,
SLC38A3,20.22605598,-2.363859278,0.675579379,-3.499010405,0.000466988,0.010231329,,SLC38A3,
SLC6A1,3862.733956,-2.369353231,0.444343352,-5.332257638,9.70E-08,1.09E-05,,SLC6A1,
RP11-693J15.5,18.3978713,-2.386048971,0.678640313,-3.515925778,0.000438223,0.009768013,,RP11,
RP5-875O13.7,20.01500156,-2.386989521,0.812853948,-2.936554009,0.00331881,0.044353359,,RP5,
RP11-1079K10.5,89.83973728,-2.388117777,0.470278707,-5.078090377,3.81E-07,3.52E-05,,RP11,
AC096640.1,155.8517311,-2.397167429,0.299970279,-7.991349795,1.33E-15,1.55E-12,,AC096640.1,
MYO3B,207.6339942,-2.399752024,0.440811001,-5.443947677,5.21E-08,6.41E-06,,MYO3B,
RP11-322I2.1,136.6638895,-2.404953903,0.515886778,-4.66178628,3.13E-06,0.000189981,,RP11,
SULF1,1945.357747,-2.40526089,0.366797585,-6.557461087,5.47E-11,1.85E-08,,SULF1,
C18orf42,73.84617718,-2.416884349,0.441188798,-5.478118117,4.30E-08,5.48E-06,,C18orf42,
CTD-2309O5.3,7.615338493,-2.418541774,0.718812462,-3.364635287,0.000766449,0.014999294,,CTD,
SMG1P6,16.78310375,-2.421022306,0.591121723,-4.095640899,4.21E-05,0.001595159,,SMG1P6,
GADL1,22.74060259,-2.42110956,0.528156395,-4.584076957,4.56E-06,0.000263257,,GADL1,
CTC-439O9.3,25.11135971,-2.439670076,0.515140091,-4.735935171,2.18E-06,0.000141284,,CTC,
SST,88.80569494,-2.444726562,0.585440824,-4.175873054,2.97E-05,0.001195379,,SST,
SOX11,9.215922071,-2.452706633,0.63572664,-3.858115235,0.000114265,0.003492889,,SOX11,
RP11-245J24.1,6.897242868,-2.456983562,0.749523026,-3.278062817,0.001045221,0.018968768,,RP11,
BMP7,69.18672202,-2.457670447,0.394385117,-6.231651098,4.62E-10,1.18E-07,,BMP7,
C2orf71,15.92423332,-2.468755117,0.46883293,-5.265745977,1.40E-07,1.49E-05,,C2orf71,
AC007463.2,44.1839738,-2.468782063,0.815990807,-3.0255023,0.002482205,0.035996407,,AC007463.2,
FRMPD1,170.625718,-2.471925071,0.388187926,-6.367856663,1.92E-10,5.56E-08,,FRMPD1,
RP11-270M14.4,19.42825444,-2.473957134,0.579400108,-4.269859634,1.96E-05,0.000871171,,RP11,
SNRPCP13,10.78194797,-2.475479978,0.667873409,-3.706510761,0.000210134,0.005592671,,SNRPCP13,
RP11-488I20.7,114.5329715,-2.476328661,0.501763313,-4.93525253,8.00E-07,6.25E-05,,RP11,
RPL30P7,4.300657186,-2.481439355,0.85866384,-2.88988454,0.003853833,0.049968571,,RPL30P7,
AP000251.3,10.93118323,-2.496333589,0.747049378,-3.341591148,0.000832997,0.015875136,,AP000251.3,
NKX6-3,3.969458392,-2.520247261,0.865802676,-2.910879502,0.00360413,0.04754056,,NKX6,
LYPD6,727.3195456,-2.535672622,0.528694152,-4.79610492,1.62E-06,0.00011326,,LYPD6,
AF064860.7,7.072840004,-2.539533157,0.851810382,-2.981336235,0.002869935,0.039931597,,AF064860.7,
BSPH1,15.58635445,-2.548338082,0.81216987,-3.137690987,0.001702843,0.02745623,,BSPH1,
RP11-172E9.2,8.873725632,-2.553889379,0.78643716,-3.24741697,0.001164576,0.020574129,,RP11,
CRHBP,181.0328373,-2.556395537,0.470463058,-5.433785907,5.52E-08,6.65E-06,,CRHBP,
RP11-1094M14.14,11.82611379,-2.557293599,0.446908757,-5.722182794,1.05E-08,1.74E-06,,RP11,
RP11-366H4.3,55.98889494,-2.576593267,0.503373884,-5.118647089,3.08E-07,2.93E-05,,RP11,
SELPLG,18.95584265,-2.578264915,0.681869812,-3.781168882,0.000156094,0.00442535,,SELPLG,
NXPH1,12466.60697,-2.588425616,0.667558006,-3.877454235,0.000105555,0.003292754,,NXPH1,
ADGRG6,130.8093917,-2.605269572,0.478827059,-5.440940575,5.30E-08,6.46E-06,,ADGRG6,
RP1-200K18.1,7.303051763,-2.611638642,0.781140315,-3.343366859,0.000827684,0.015795255,,RP1,
MYO5B,1507.410744,-2.612156099,0.38028311,-6.868977422,6.47E-12,2.67E-09,,MYO5B,
FAM180A,19.17421067,-2.615350665,0.816470141,-3.203241041,0.001358902,0.023232931,,FAM180A,
PLCXD2,16.06315644,-2.627038265,0.68758075,-3.820697807,0.000133075,0.003922555,,PLCXD2,
CH507-236L23.3,16.60898812,-2.628606226,0.545314696,-4.820347303,1.43E-06,0.000102689,,CH507,
