,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,Reformatted Genes,
CTC-435M10.6,3.773789025,5.4359451,1.56521847,3.472962532,0.000514747,0.011078433,,CTC,
REG4,3.643784187,5.37572139,1.652261797,3.253553038,0.001139714,0.02020878,,REG4,
AC010904.1,3.729155544,4.989986388,1.409961323,3.539094519,0.000401502,0.009124809,,AC010904.1,
NCCRP1,10.44339438,4.868441988,0.998812022,4.874232471,1.09E-06,8.14E-05,,NCCRP1,
ADM2,6.519221215,4.537068182,0.961417504,4.71914456,2.37E-06,0.000149873,,ADM2,
GNG8,11.313762,4.463560859,0.795891562,5.608252522,2.04E-08,3.07E-06,,GNG8,
MIR6132,10.01694183,4.451553608,0.982218673,4.532141089,5.84E-06,0.000322597,,MIR6132,
RP11-713N11.4,12.65298339,4.387411747,0.746224931,5.879476231,4.12E-09,7.77E-07,,RP11,
AC068535.2,7.927938943,4.296240852,1.137681013,3.7763141,0.000159166,0.004488157,,AC068535.2,
ITGAX,84.0840398,4.28680028,0.631904681,6.783934998,1.17E-11,4.32E-09,,ITGAX,
PLA2G2A,12.09899345,4.256343797,0.901458848,4.721617416,2.34E-06,0.000148447,,PLA2G2A,
HMGB1P29,2.90453819,4.157163884,1.156705431,3.593969367,0.000325678,0.007809544,,HMGB1P29,#NAME?
LINC00163,4.669884678,3.983800945,1.112575595,3.58070136,0.000342673,0.008050671,,LINC00163,
CCL20,11.52329203,3.975840432,0.71442712,5.565074894,2.62E-08,3.73E-06,,CCL20,
AC005027.3,74.04440512,3.870410076,0.529684385,7.307011846,2.73E-13,1.62E-10,,AC005027.3,
PLA2G2E,11.74279454,3.850701735,0.70265608,5.480208374,4.25E-08,5.45E-06,,PLA2G2E,
GPRC5A,121.3935153,3.726662442,0.401863547,9.273452318,1.80E-20,3.38E-17,,GPRC5A,
CTD-3046C4.1,165.951093,3.672162695,0.388440007,9.453616076,3.27E-21,7.25E-18,,CTD,
RP1-272E8.1,48.3487653,3.622798003,0.347612883,10.42193251,1.97E-25,8.00E-22,,RP1,
RP11-763F8.1,3.386480677,3.615752008,1.175101924,3.076968843,0.002091172,0.031546262,,RP11,
LINC01456,2428.970791,3.601206975,0.331642487,10.8587021,1.81E-27,8.83E-24,,LINC01456,
RP11-321E2.3,13.97148496,3.536782574,0.805421079,4.391221767,1.13E-05,0.000548121,,RP11,
TCP11X3P,6.740513673,3.529731441,1.168846285,3.019842289,0.002529063,0.036469047,,TCP11X3P,
SLC1A5,29.13342636,3.527434963,0.688672325,5.122080319,3.02E-07,2.90E-05,,SLC1A5,
CFP,451.553861,3.525592748,0.3048405,11.5653686,6.17E-31,5.01E-27,,CFP,
RP11-435I10.5,6.137183326,3.493721069,1.180273843,2.960093618,0.003075456,0.041999623,,RP11,
C1orf194,1051.490549,3.477998361,0.249383643,13.94637721,3.31E-44,8.06E-40,,C1orf194,
RP11-1036E20.9,9.326353106,3.462635934,1.019767063,3.395516544,0.000684992,0.013812289,,RP11,
RIPPLY3,27.79803361,3.437797234,0.533214242,6.447309477,1.14E-10,3.56E-08,,RIPPLY3,
RP11-97O12.6,179.546011,3.3709008,0.325184038,10.36613243,3.54E-25,1.23E-21,,RP11,
RP11-467M13.2,10.66210243,3.370476627,0.793842311,4.245775992,2.18E-05,0.000940991,,RP11,
PAPL,31.48101436,3.280945313,0.66135073,4.960976319,7.01E-07,5.72E-05,,PAPL,
RP11-727F15.12,91.04339631,3.254707378,0.596561075,5.455782337,4.88E-08,6.06E-06,,RP11,
OLAH,177.3085808,3.220754144,0.516071048,6.240912289,4.35E-10,1.14E-07,,OLAH,
KLHL30,14.96388888,3.202012026,0.755363466,4.239034808,2.24E-05,0.000964564,,KLHL30,
MVP,336.5109228,3.143964465,0.276907351,11.35384978,7.10E-30,4.32E-26,,MVP,
RN7SKP112,155.5753013,3.123865722,0.441225972,7.079967906,1.44E-12,6.63E-10,,RN7SKP112,
VIM-AS1,24.06505876,3.115276645,0.437211865,7.12532503,1.04E-12,5.06E-10,,VIM,
LYPLA1P2,60.29966918,3.022433381,0.409445895,7.38176501,1.56E-13,1.06E-10,,LYPLA1P2,
RP11-227F19.2,48.86559299,2.99829446,0.623977534,4.805132069,1.55E-06,0.000109527,,RP11,
RP11-109E12.4,27.92916871,2.951469908,0.538371951,5.482213371,4.20E-08,5.41E-06,,RP11,
RP4-559A3.6,70.38265698,2.940108351,0.498366139,5.89949461,3.65E-09,7.11E-07,,RP4,
AC019048.1,2979.481592,2.879893644,0.220318726,13.07148831,4.79E-39,5.84E-35,,AC019048.1,
LINC01271,10.63453804,2.856309949,0.985736342,2.897640909,0.003759808,0.049036511,,LINC01271,
MIR7704,25.45937056,2.839079048,0.55050947,5.157184762,2.51E-07,2.46E-05,,MIR7704,
AC073065.3,2.636637182,2.832170521,0.929322198,3.04756577,0.00230703,0.033981971,,AC073065.3,
XBP1P1,51.26320089,2.81096501,0.649621703,4.327079896,1.51E-05,0.000705216,,XBP1P1,
AC091770.1,32.52400161,2.807372731,0.666689048,4.210917725,2.54E-05,0.001066501,,AC091770.1,
C8orf37-AS1,10.79377691,2.79384195,0.877620982,3.183426566,0.00145543,0.024415527,,C8orf37,
BEND2,225.370737,2.785855118,0.52589233,5.297386861,1.17E-07,1.30E-05,,BEND2,
TAL1,23.05284149,2.740670773,0.838341916,3.269156318,0.001078687,0.019452294,,TAL1,
UPB1,133.6071305,2.709777954,0.31558552,8.586509133,8.97E-18,1.37E-14,,UPB1,
LINC01034,5.34773833,2.68933684,0.779548814,3.449863293,0.000560871,0.011759456,,LINC01034,
ALPK2,142.8973989,2.673564587,0.346686391,7.71176676,1.24E-14,1.16E-11,,ALPK2,
GLP1R,148.5499373,2.642230442,0.472288427,5.594527179,2.21E-08,3.25E-06,,GLP1R,
FKSG62,565.2562505,2.604117022,0.25531039,10.19980824,1.99E-24,6.05E-21,,FKSG62,
FAM129A,499.0685794,2.546131912,0.325894113,7.812758223,5.59E-15,5.52E-12,,FAM129A,
PITX3,11.97791462,2.539470285,0.61099675,4.156274617,3.23E-05,0.00127937,,PITX3,
OPTC,14.78063245,2.516409517,0.672765419,3.740396646,0.00018373,0.005006953,,OPTC,
FOXC1,9.015428706,2.485203671,0.770551705,3.225226359,0.001258731,0.021826665,,FOXC1,
BPIFC,62.91686137,2.480150339,0.416880353,5.949309721,2.69E-09,5.47E-07,,BPIFC,
RP11-17A4.4,269.269057,2.468507941,0.380366036,6.489822185,8.59E-11,2.87E-08,,RP11,
RBP7,22.97933962,2.440978845,0.778457845,3.135659641,0.001714681,0.027574104,,RBP7,
CNOT10-AS1,397.084798,2.428603308,0.545150009,4.454926662,8.39E-06,0.000433176,,CNOT10,
IYD,24.98359458,2.414909107,0.763974721,3.160980385,0.001572391,0.025954037,,IYD,
ENSAP2,551.6921888,2.410783149,0.717365435,3.360606787,0.000777715,0.015119433,,ENSAP2,
YAP1P1,4.152467597,2.374243869,0.760900264,3.120308905,0.001806615,0.02854381,,YAP1P1,
RP3-434P1.6,40.76241924,2.350139998,0.61074662,3.847978722,0.000119096,0.003597408,,RP3,
AC093874.1,134.0807277,2.332181122,0.329022771,7.088205827,1.36E-12,6.49E-10,,AC093874.1,
RP11-284P20.3,30.14979685,2.311846114,0.759459026,3.044069572,0.002334012,0.034234512,,RP11,
AK4P2,27.76100337,2.288201831,0.673416265,3.397901046,0.00067905,0.013729203,,AK4P2,
RP11-671M22.4,85.86938979,2.28659361,0.63118142,3.622720091,0.000291521,0.007174072,,RP11,
LINC00390,57.1049363,2.257667562,0.67213737,3.358937715,0.000782427,0.015176966,,LINC00390,
RPS3AP23,18.11740682,2.246883988,0.578253495,3.885638404,0.000102061,0.003192579,,RPS3AP23,
RP3-394A18.1,50.96750165,2.240569331,0.36813113,6.086334863,1.16E-09,2.66E-07,,RP3,
CTD-2194L12.3,53.96352158,2.22656093,0.655796385,3.39520159,0.000685781,0.013812289,,CTD,
RP11-332G1.1,36.24010296,2.223914887,0.666232756,3.338044951,0.000843701,0.01599589,,RP11,
AC013460.1,1389.642687,2.189870232,0.354437334,6.178441212,6.47E-10,1.58E-07,,AC013460.1,
ACTR3BP4,24.63249408,2.183053195,0.722169367,3.022910266,0.002503565,0.036262988,,ACTR3BP4,
RP11-48B3.3,19.08435729,2.181865721,0.522616327,4.174890084,2.98E-05,0.001198571,,RP11,
SGK2,132.0061519,2.150169015,0.42631959,5.043561369,4.57E-07,4.09E-05,,SGK2,
RP5-965F6.2,814.8458026,2.148668432,0.369584728,5.813737059,6.11E-09,1.10E-06,,RP5,
INSC,93.89780128,2.145973701,0.405597486,5.290894974,1.22E-07,1.33E-05,,INSC,
PES1P2,21.22750707,2.142664455,0.572420508,3.743165077,0.000181717,0.00496319,,PES1P2,
TTC34,32.70121923,2.132194909,0.661148145,3.224988114,0.001259779,0.0218293,,TTC34,
LINC01194,24.77162192,2.125312815,0.634368928,3.350278871,0.000807302,0.015526397,,LINC01194,
HNF4A,121.3533902,2.11406548,0.305670616,6.916155397,4.64E-12,1.98E-09,,HNF4A,
NMI,20.90129373,2.111806413,0.637869589,3.310718128,0.000930569,0.017266909,,NMI,
NACAP3,106.1054559,2.079578506,0.438828101,4.738936497,2.15E-06,0.000139579,,NACAP3,
DMRT3,29.12931648,2.05422912,0.458230597,4.482959302,7.36E-06,0.000388199,,DMRT3,
SLC7A11,767.4722982,2.052797969,0.283101059,7.251113696,4.13E-13,2.19E-10,,SLC7A11,
LINC00456,593.4919302,2.040763044,0.232343069,8.783403995,1.59E-18,2.58E-15,,LINC00456,
GIPR,38.26553741,2.039176265,0.528666628,3.857206333,0.00011469,0.003501505,,GIPR,
RP11-167N4.5,3646.351601,2.031793738,0.434182036,4.679589593,2.87E-06,0.000176401,,RP11,
PAX2,317.2701919,2.018395867,0.457004375,4.416578875,1.00E-05,0.000498573,,PAX2,
GLP2R,1171.232431,2.011364907,0.406376963,4.949505237,7.44E-07,6.00E-05,,GLP2R,
C20orf62,35.30845986,2.010226045,0.554806776,3.623290361,0.000290879,0.007165505,,C20orf62,
RHBG,31.32408969,2.009166659,0.511788979,3.925771635,8.65E-05,0.002793413,,RHBG,
SLC4A11,66.75543787,2.008191511,0.363193118,5.529266424,3.22E-08,4.35E-06,,SLC4A11,
RP11-123I22.1,28.04194727,1.998230125,0.584836069,3.416735443,0.000633768,0.012930805,,RP11,
RP1-59D14.9,40.02383115,1.991391088,0.488349139,4.077801984,4.55E-05,0.001706666,,RP1,
OLFML2A,66.52254737,1.965552032,0.515669715,3.811649152,0.000138043,0.00405197,,OLFML2A,
PHBP19,30.53238531,1.921850364,0.505517218,3.801750558,0.000143677,0.004187095,,PHBP19,
MARK2P5,155.9506633,1.918728801,0.55733389,3.44269178,0.000575955,0.012013698,,MARK2P5,
FOXP3,97.97335796,1.918042957,0.40712442,4.711196047,2.46E-06,0.000154237,,FOXP3,
RP11-84A19.2,65.85563174,1.91561348,0.589450001,3.249832006,0.001154732,0.020415628,,RP11,
CGA,47.00102298,1.9144798,0.47326086,4.045295016,5.23E-05,0.001897383,,CGA,
ANP32AP1,45.01453755,1.898741377,0.347469539,5.464482969,4.64E-08,5.80E-06,,ANP32AP1,
RP5-940F7.2,8.729324615,1.874814229,0.600669101,3.121209707,0.001801097,0.028475102,,RP5,
TRBV11-3,351.4383666,1.874794175,0.388123217,4.830409764,1.36E-06,9.79E-05,,TRBV11,
OTX2-AS1,307.6042327,1.870939726,0.367926577,5.085089911,3.67E-07,3.42E-05,,OTX2,
RPL7AP14,23.27532931,1.865471306,0.475332231,3.924563038,8.69E-05,0.002803756,,RPL7AP14,
CTD-2292M16.8,87.20473027,1.858173287,0.501776531,3.703188916,0.000212906,0.005639595,,CTD,
RP11-363G10.3,62.26577581,1.849045687,0.57052949,3.240929205,0.001191408,0.020897239,,RP11,
GNLY,35.23721726,1.848589406,0.571467208,3.23481274,0.001217225,0.021273501,,GNLY,
LINC00681,434.8185271,1.84120844,0.593026595,3.104765375,0.0019043,0.029475518,,LINC00681,
SMPD4P1,285.2026123,1.833110882,0.557550803,3.287791665,0.001009765,0.018510845,,SMPD4P1,
SERPINE2,4082.626929,1.828191843,0.258751817,7.065426114,1.60E-12,7.22E-10,,SERPINE2,
BIN2,120.1748987,1.82188064,0.341825206,5.329860427,9.83E-08,1.10E-05,,BIN2,
FAM167A-AS1,291.335896,1.795748452,0.35356133,5.079029579,3.79E-07,3.51E-05,,FAM167A,
EDA2R,28.34334569,1.781504948,0.526268543,3.385163281,0.000711359,0.014182361,,EDA2R,
PROP1,17.90788301,1.780777417,0.573049097,3.107547725,0.001886465,0.029321238,,PROP1,
SH3RF2,3543.766891,1.767387622,0.242142503,7.298956593,2.90E-13,1.68E-10,,SH3RF2,
RP4-580N22.2,144.1909622,1.766679139,0.258488464,6.834653717,8.22E-12,3.19E-09,,RP4,
ATF3,65.74609893,1.761784288,0.362722559,4.857112537,1.19E-06,8.77E-05,,ATF3,
AC005077.12,98.81070119,1.748081413,0.406149728,4.304031965,1.68E-05,0.000766623,,AC005077.12,
CAT,639.9611856,1.723593202,0.313582884,5.496451779,3.88E-08,5.10E-06,,CAT,
CYTIP,24.68717308,1.707030626,0.58847778,2.900756299,0.003722633,0.048692618,,CYTIP,
DNAJC22,16.09243773,1.6885359,0.525068299,3.215840499,0.001300631,0.022382234,,DNAJC22,
TNFAIP6,27.26948928,1.68223581,0.457439342,3.677505753,0.000235526,0.006110878,,TNFAIP6,
RP11-667K14.13,20.50251564,1.681608857,0.4735076,3.551387255,0.000383206,0.008791008,,RP11,
SPOCD1,56.28008699,1.681544139,0.393456183,4.273777397,1.92E-05,0.000857564,,SPOCD1,
PHGDH,145.7016335,1.668792831,0.352045756,4.740272547,2.13E-06,0.000139405,,PHGDH,
CELA1,35.02891098,1.663778052,0.485921169,3.423967013,0.000617141,0.012677411,,CELA1,
RP11-80F22.7,109.4645242,1.66265344,0.458697021,3.624731284,0.000289262,0.007154611,,RP11,
IQGAP3,130.8372795,1.656555466,0.279493013,5.927001349,3.09E-09,6.11E-07,,IQGAP3,
THBD,49.03996005,1.656081856,0.510009077,3.247161535,0.001165622,0.020574129,,THBD,
CMB9-22P13.1,106.3482006,1.653251217,0.348231359,4.74756559,2.06E-06,0.000135198,,CMB9,
RP11-535C7.1,120.5804697,1.64646749,0.469133444,3.509593079,0.000448793,0.009912913,,RP11,
TMPRSS13,38.55570771,1.645577377,0.467988487,3.516277476,0.000437643,0.009764015,,TMPRSS13,
BUD31P1,1749.099418,1.625329204,0.381615706,4.259073141,2.05E-05,0.000899487,,BUD31P1,
LINC00284,2057.676604,1.623039481,0.343463111,4.725513251,2.30E-06,0.000146776,,LINC00284,
EMCN,656.7005683,1.605974004,0.440014484,3.649820774,0.000262423,0.006659812,,EMCN,
ADORA2A-AS1,211.0185219,1.604337891,0.273178856,5.872847968,4.28E-09,8.03E-07,,ADORA2A,
RP11-3P22.2,54.07037305,1.60288866,0.451742803,3.548232868,0.000387825,0.008871911,,RP11,
TACR3,263.0323209,1.600507415,0.271715742,5.890374265,3.85E-09,7.39E-07,,TACR3,
VWF,237.9966545,1.600199348,0.288116453,5.554001975,2.79E-08,3.93E-06,,VWF,
FAM132B,56.84099435,1.596273252,0.312522268,5.107710447,3.26E-07,3.08E-05,,FAM132B,
AC009305.2,683.7531315,1.581028486,0.405070027,3.903099168,9.50E-05,0.003016589,,AC009305.2,
RP11-65J3.3,178.8099578,1.576653114,0.421064018,3.74444989,0.000180789,0.004943405,,RP11,
RN7SL181P,105.4362738,1.575812351,0.414613764,3.800675439,0.000144302,0.00420028,,RN7SL181P,
MIR548AX,1760.595755,1.574371595,0.218182794,7.215837545,5.36E-13,2.78E-10,,MIR548AX,
E2F7,110.6933295,1.568903838,0.41483656,3.781980637,0.000155585,0.004423021,,E2F7,
FOLH1B,428.1601956,1.558874286,0.467515487,3.334379994,0.000854898,0.016120646,,FOLH1B,
AP001255.2,48.88101309,1.544909755,0.493143212,3.132781142,0.001731585,0.027772618,,AP001255.2,
ADIPOR1P2,398.6292881,1.536430607,0.343402241,4.474142631,7.67E-06,0.00039911,,ADIPOR1P2,
RP11-529A4.15,25.25057308,1.534860651,0.531088205,2.890029633,0.003852055,0.049968571,,RP11,
ART3,2202.355585,1.526828137,0.330245749,4.623308975,3.78E-06,0.000224328,,ART3,
RP11-368I7.6,168.346523,1.5264635,0.249949262,6.107093434,1.01E-09,2.38E-07,,RP11,
RP11-69C13.1,21.95985082,1.521856894,0.461348121,3.298717009,0.000971278,0.017886046,,RP11,
RN7SL692P,115.0559317,1.514285218,0.396351984,3.820556679,0.000133151,0.003922555,,RN7SL692P,
RP1-159G19.1,29.76858525,1.514038833,0.432813088,3.49813551,0.000468523,0.010240699,,RP1,
LINC01422,169.4047043,1.5113013,0.364862892,4.142107446,3.44E-05,0.001343592,,LINC01422,
RP13-314C10.5,66.987943,1.511124622,0.364353825,4.147409798,3.36E-05,0.001319203,,RP13,
PNLDC1,477.7348021,1.499599602,0.361793695,4.144902533,3.40E-05,0.001331576,,PNLDC1,
RP11-327J17.2,42.47090708,1.49949682,0.500203949,2.997770852,0.002719621,0.03838825,,RP11,
RP11-10A14.4,500.2657445,1.499116588,0.415495562,3.6080207,0.000308542,0.007502002,,RP11,
ESRP1,104.6235754,1.496605322,0.33228145,4.504029101,6.67E-06,0.000358599,,ESRP1,
MFSD2A,182.2221689,1.493528149,0.349966685,4.267629501,1.98E-05,0.000875124,,MFSD2A,
AC009133.15,28.46011215,1.491531323,0.402743887,3.703423871,0.000212709,0.005639595,,AC009133.15,
ACVR1C,1367.362294,1.485132324,0.195955155,7.578939799,3.48E-14,2.87E-11,,ACVR1C,
FAM163A,2841.805976,1.477760802,0.311011793,4.751462274,2.02E-06,0.000133337,,FAM163A,
AC009229.5,180.8376136,1.473130846,0.499725001,2.947883023,0.003199581,0.043234273,,AC009229.5,
PAMR1,1426.475441,1.46054942,0.399317811,3.657611507,0.000254577,0.00650813,,PAMR1,
ISX-AS1,30.06831332,1.460193955,0.456615063,3.197866371,0.001384484,0.023554601,,ISX,
AC005077.7,34.35232016,1.459169684,0.46859341,3.113935562,0.001846098,0.028868091,,AC005077.7,
RP11-22K10.1,1388.901951,1.455936771,0.33758772,4.312765799,1.61E-05,0.000745009,,RP11,
CD96,740.8727113,1.454666199,0.431014247,3.374984029,0.0007382,0.01458391,,CD96,
EFCC1,150.1506388,1.449587154,0.293646812,4.93649887,7.95E-07,6.25E-05,,EFCC1,
SPRY1,365.2233261,1.445690742,0.240085585,6.021564108,1.73E-09,3.69E-07,,SPRY1,
NEDD8-MDP1,73.75117556,1.440582394,0.372257032,3.869859456,0.000108898,0.003375426,,NEDD8,
PLK5,124.5999134,1.439681671,0.341942466,4.210303822,2.55E-05,0.001067566,,PLK5,
AC008069.1,424.1278638,1.43707227,0.486275825,2.955261596,0.00312404,0.042448966,,AC008069.1,
TTC22,172.3514767,1.435694804,0.301377111,4.763781832,1.90E-06,0.000127072,,TTC22,
RP11-739G5.1,74.0767521,1.427303811,0.335710779,4.251587678,2.12E-05,0.0009218,,RP11,
RBPMS2,27.51659626,1.42692851,0.436924294,3.265848411,0.001091367,0.01959393,,RBPMS2,
NOV,81.44020381,1.425104341,0.421623433,3.380040644,0.000724751,0.014378755,,NOV,
MAP7D3,124.8722563,1.420843962,0.39178606,3.626581208,0.000287199,0.007132536,,MAP7D3,
ANO2,1541.088765,1.417988487,0.403460063,3.51456964,0.000440467,0.009800093,,ANO2,
COL9A3,74.3886919,1.416438693,0.489254268,2.895097263,0.003790411,0.049303671,,COL9A3,
TYRP1,128.3226333,1.410482228,0.452227762,3.11896426,0.00181488,0.028581716,,TYRP1,
ITGA4,1184.932522,1.408113939,0.300106237,4.692051558,2.70E-06,0.000167676,,ITGA4,
CERKL,818.8478046,1.407532621,0.329767226,4.2682611,1.97E-05,0.000875124,,CERKL,
AC083949.1,24.78895216,1.406582409,0.480877116,2.925035029,0.003444175,0.045727751,,AC083949.1,
LURAP1L-AS1,755.5886125,1.400428996,0.286842748,4.882218582,1.05E-06,7.89E-05,,LURAP1L,
RP11-200A13.2,32.50790502,1.400042903,0.46931622,2.983154736,0.002852937,0.039785981,,RP11,
CNGA3,151.9756466,1.397142615,0.29208381,4.783362066,1.72E-06,0.000118433,,CNGA3,
CCDC88C,719.5921497,1.395250116,0.39748006,3.510239275,0.000447704,0.009906815,,CCDC88C,
EHD2,101.8778729,1.392674475,0.314152322,4.433118511,9.29E-06,0.000465814,,EHD2,
RP11-257I8.1,2035.107131,1.390980667,0.215360916,6.458835215,1.06E-10,3.38E-08,,RP11,
AC018804.1,30.33190311,1.387221023,0.363032789,3.821200357,0.000132804,0.003921814,,AC018804.1,
HP1BP3,12181.79807,1.380384581,0.174719147,7.900591358,2.78E-15,2.94E-12,,HP1BP3,
C22orf24,285.2148988,1.379895554,0.232631331,5.93168404,3.00E-09,5.99E-07,,C22orf24,
AC098824.6,16.11088546,1.376254007,0.456676422,3.013630528,0.00258142,0.036994781,,AC098824.6,
LY75-CD302,1235.588562,1.373001744,0.420793608,3.262886411,0.001102837,0.019756192,,LY75,
CDCP2,30.31014455,1.370288638,0.456478631,3.001868097,0.002683284,0.038053362,,CDCP2,
ETS2,2694.598697,1.366846214,0.270133416,5.059893124,4.19E-07,3.81E-05,,ETS2,
SLC11A1,48.56977548,1.362966088,0.438963499,3.104964516,0.001903019,0.029474406,,SLC11A1,
MEI4,706.6116092,1.3604231,0.331141185,4.10828723,3.99E-05,0.001522131,,MEI4,
DENND2C,307.1050312,1.343890496,0.239574547,5.609487779,2.03E-08,3.07E-06,,DENND2C,
RP11-88H9.2,2122.546911,1.343587535,0.209966333,6.399061762,1.56E-10,4.76E-08,,RP11,
GGNBP1,423.9134463,1.343148353,0.239455364,5.609180478,2.03E-08,3.07E-06,,GGNBP1,
MAZ,38.70116304,1.342987043,0.432743867,3.103422475,0.001912963,0.029590812,,MAZ,
ABHD17AP6,205.5745586,1.341705427,0.33070667,4.057086076,4.97E-05,0.001820402,,ABHD17AP6,
KCNG3,1317.724836,1.334666258,0.16404636,8.135909027,4.09E-16,5.24E-13,,KCNG3,
COL5A1,665.8296982,1.330280317,0.367662979,3.618205781,0.000296652,0.007278293,,COL5A1,
EIF2S2,77.52728368,1.329114027,0.271616731,4.893343729,9.91E-07,7.48E-05,,EIF2S2,
ASZ1,71.55102049,1.328701732,0.382640346,3.472455916,0.00051572,0.011079788,,ASZ1,
RP11-204N11.1,231.6019299,1.328208486,0.382905422,3.468763849,0.000522859,0.01116411,,RP11,
CTC-428G20.1,299.9839904,1.322785938,0.335615962,3.941367771,8.10E-05,0.002644457,,CTC,
CTD-2293H3.2,31.8108566,1.314770867,0.386007947,3.406072019,0.000659048,0.01338032,,CTD,
LINC00320,1227.734269,1.306265171,0.323420182,4.038910506,5.37E-05,0.001926796,,LINC00320,
KCNH4,747.0863907,1.296307456,0.358788196,3.613015897,0.000302656,0.007380993,,KCNH4,
WDR64,937.0536706,1.295102083,0.374075538,3.462140535,0.000535897,0.011372879,,WDR64,
MOXD1,3312.624983,1.293812157,0.373015014,3.468525684,0.000523323,0.01116411,,MOXD1,
RP4-622L5.2,3945.153036,1.288351976,0.444242473,2.900109863,0.003730319,0.048756308,,RP4,
CTA-992D9.6,32.51475956,1.280437637,0.382737215,3.345474612,0.000821419,0.015757658,,CTA,
RGCC,246.3850742,1.272381518,0.324772428,3.917763361,8.94E-05,0.002868812,,RGCC,
SLC6A20,407.3501233,1.264881448,0.21316913,5.933698966,2.96E-09,5.96E-07,,SLC6A20,
MYC,99.9337392,1.258830618,0.308407804,4.081708055,4.47E-05,0.001680819,,MYC,
ERVH-1,6736.913238,1.240221825,0.398477667,3.112399835,0.00185573,0.028981503,,ERVH,
NOX4,886.9392044,1.23737561,0.307713694,4.021191235,5.79E-05,0.002050478,,NOX4,
RP11-151E14.1,223.187873,1.235484798,0.369519326,3.343491693,0.000827312,0.015795255,,RP11,
RFX2,1625.016523,1.234632363,0.215616243,5.726063786,1.03E-08,1.72E-06,,RFX2,
RP11-676F20.2,243.9466766,1.230586346,0.186356618,6.603394913,4.02E-11,1.42E-08,,RP11,
RP11-234B24.5,75.6494838,1.225519758,0.373279282,3.283117541,0.001026658,0.018786746,,RP11,
IGSF21,26826.1248,1.214353576,0.158750811,7.649432248,2.02E-14,1.82E-11,,IGSF21,
LINC01007,108.4709346,1.20448257,0.409480406,2.941490124,0.003266373,0.043893345,,LINC01007,
LTK,109.9977816,1.203335434,0.413123062,2.912777197,0.003582301,0.047356273,,LTK,
RP11-638I2.10,511.7508299,1.201316727,0.330986142,3.629507629,0.000283962,0.007059362,,RP11,
CBLN4,352.5271709,1.200307555,0.351054346,3.419150251,0.00062817,0.012839021,,CBLN4,
MEIS2,13186.83687,1.200026454,0.239888971,5.002424451,5.66E-07,4.82E-05,,MEIS2,
SEMA3C,2443.111005,1.19017906,0.265541048,4.482090689,7.39E-06,0.000388941,,SEMA3C,
RP11-456I15.2,150.5470192,1.183374151,0.297434015,3.97861069,6.93E-05,0.002352881,,RP11,
SLC8A1-AS1,1200.557691,1.180184892,0.225306224,5.238137104,1.62E-07,1.66E-05,,SLC8A1,
JAG1,850.5814918,1.178376244,0.194654111,6.053693087,1.42E-09,3.19E-07,,JAG1,
MTHFD2,104.3732027,1.170225132,0.393803059,2.971599906,0.002962525,0.040846627,,MTHFD2,
PLEK2,57.39051866,1.163361624,0.326470219,3.563454051,0.000366007,0.008468208,,PLEK2,
RP11-632K5.2,90.24089314,1.163286245,0.334979515,3.472708611,0.000515234,0.011079132,,RP11,
RP11-468D11.1,2552.360497,1.162790626,0.21738944,5.348882755,8.85E-08,1.01E-05,,RP11,
CYP1B1-AS1,6655.958666,1.155955766,0.369260975,3.130457441,0.001745343,0.02788314,,CYP1B1,
PVRL3,10598.87766,1.145651829,0.286598235,3.997414108,6.40E-05,0.00221395,,PVRL3,
RP11-456K23.1,57.48270256,1.143994168,0.340257751,3.36213992,0.000773409,0.015054129,,RP11,
AC003988.1,157.015602,1.138961908,0.33223107,3.428222133,0.000607548,0.012533188,,AC003988.1,
SH2D4B,440.1344697,1.138799578,0.272164604,4.184231024,2.86E-05,0.001169641,,SH2D4B,
IGFBP5,842.4700594,1.137772597,0.221510741,5.1364218,2.80E-07,2.71E-05,,IGFBP5,
COL27A1,1365.347951,1.134531094,0.345960849,3.279362675,0.001040418,0.018942133,,COL27A1,
RP5-1180C18.1,877.7836751,1.132561657,0.317193033,3.570575449,0.000356198,0.00828058,,RP5,
HTR3B,948.9662715,1.130945405,0.322703109,3.504600272,0.000457293,0.010073271,,HTR3B,
CPVL,1393.469938,1.128158602,0.214476392,5.260059582,1.44E-07,1.52E-05,,CPVL,
AC013271.3,26.33563374,1.126072903,0.36477887,3.087001455,0.002021866,0.030748267,,AC013271.3,
WDR86,322.2528139,1.117526398,0.366316198,3.050715211,0.00228297,0.033730352,,WDR86,
PCSK6,2314.421263,1.11531938,0.249102942,4.477343259,7.56E-06,0.000394282,,PCSK6,
DCDC2,1841.227605,1.115275994,0.282106869,3.953381211,7.71E-05,0.002541683,,DCDC2,
RP11-419C23.1,603.8367815,1.113436988,0.377641775,2.948394649,0.00319429,0.043186729,,RP11,
CTDSPL,23341.29225,1.104276243,0.11734788,9.410278629,4.95E-21,1.00E-17,,CTDSPL,
RP11-324I22.2,227.6364321,1.103535822,0.30723991,3.591772379,0.000328437,0.007852429,,RP11,
RP11-434H6.2,1076.011773,1.103184665,0.262827462,4.197372129,2.70E-05,0.001111274,,RP11,
GPR173,2167.768412,1.10147309,0.176536302,6.239357435,4.39E-10,1.14E-07,,GPR173,
