"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KDM1B",2704.92933476428,1.04409818055799,0.175435074392571,5.95147911085104,2.65729941830699e-09,4.42380305818535e-07
"LCA5",9814.22551321783,0.953538572691566,0.160230098906219,5.95105775507048,2.66415044854455e-09,4.42380305818535e-07
"RP11-368I7.6",168.346522992192,1.52748349639462,0.256946634510379,5.94474996454147,2.76879158776823e-09,4.53726763333528e-07
"TRIM66",1349.50947929143,-1.21435980280597,0.204278750753459,-5.94462125075143,2.77096797659053e-09,4.53726763333528e-07
"ITGA11",633.066151199506,-1.6377028123991,0.275749665590794,-5.93909265090246,2.86603866977985e-09,4.63943945760781e-07
"HS3ST3A1",137.244569290896,-1.18232390659118,0.19908763215952,-5.9387109775048,2.87271793040731e-09,4.63943945760781e-07
"NRIP3",1139.28230139116,-1.35609587407299,0.22943577934361,-5.91056842987885,3.40929183575868e-09,5.45947541132065e-07
"DLC1",10320.0293704401,-1.57372806909858,0.266294625095604,-5.90972524711527,3.42678807784663e-09,5.45947541132065e-07
"IFT122",5187.56724469766,0.646080131225621,0.109406277575818,5.90532961673878,3.5194235879588e-09,5.56942877721345e-07
"JAG1",850.581491807297,1.17819767373213,0.200143291369555,5.88677075144448,3.93814368885341e-09,6.15237413658496e-07
"VWA2",297.886825459791,-1.94825796412141,0.330959636922269,-5.88669356251133,3.9399825888474e-09,6.15237413658496e-07
"UTRN",5268.12272490611,-1.41034521151881,0.239759286631476,-5.88233820401123,4.04510698757002e-09,6.26908933619327e-07
"KIAA1644",1910.89242353411,-0.932750801863798,0.15859310379584,-5.88140833074651,4.06790223689542e-09,6.26908933619327e-07
"SKINTL",394.836241091738,-2.32013392305407,0.394567008101143,-5.88020253953755,4.09764768728615e-09,6.27392433886495e-07
"E2F5",901.515623777152,0.752647883859963,0.128277813864871,5.86732702392954,4.42876641877256e-09,6.73715376698312e-07
"CAT",639.961185576447,1.72022469710252,0.293243335063855,5.86620219937117,4.45889998830617e-09,6.73951300155584e-07
"SLC6A20",407.350123256917,1.25745547444261,0.214541723100329,5.86112321776482,4.59746657148995e-09,6.86251915258232e-07
"IQGAP3",130.837279485426,1.6547375926704,0.282326094788363,5.86108625173602,4.59849029266723e-09,6.86251915258232e-07
"IGLON5",417.826058332967,-1.16919850862596,0.199737710241031,-5.853669330719,4.80844200223574e-09,7.1307077969004e-07
"RP11-10A14.5",45.1943749905761,-2.06167116809005,0.352671732337921,-5.84586452229352,5.03944074315598e-09,7.42656083017968e-07
"C22orf24",285.214898832321,1.37711732180988,0.236404031578253,5.82527003713147,5.70203255292808e-09,8.35082146369511e-07
"RP11-727F15.12",91.0433963124971,3.45589917445806,0.594368381834724,5.81440614958391,6.08495122715781e-09,8.85660894970087e-07
"RP4-559A3.6",70.3826569832831,2.88527848370709,0.49666783924426,5.80927182258749,6.27451453727159e-09,9.07648946468263e-07
"PDE8B",25693.223710148,0.646286806491556,0.111377076282572,5.80269143402434,6.52588202437004e-09,9.38254708857447e-07
"SYNDIG1L",128.815682116967,-1.98100319799328,0.343020697805837,-5.77517103389079,7.68749562191291e-09,1.09856641981263e-06
"BPIFC",62.9168613691442,2.45962874343352,0.426952472540194,5.76089588801238,8.36686395088031e-09,1.1884475005892e-06
"RP11-713N11.4",12.6529833937366,4.38037629413016,0.761841081236787,5.74972445305651,8.93890114394479e-09,1.26209790462919e-06
"FGD5",298.073670539374,-1.4240106765347,0.247866135869525,-5.7450795831355,9.18777636953821e-09,1.2895153512937e-06
"C12orf42",501.030677331217,-1.49715049447349,0.260991751011464,-5.736390091531,9.67157618546525e-09,1.34938517678749e-06
"WLS",413.005577213152,-2.1958346031932,0.383203685740548,-5.73020220029907,1.00310988923675e-08,1.3863674612845e-06
"CLTCL1",532.892168640258,-1.29209466854357,0.225503874406882,-5.7298113921192,1.00542362220472e-08,1.3863674612845e-06
